quicksort_time(ms),bubblesort_time(ms)
3441,790577
2660,780789
2656,815937
2651,788512
2705,804557
2658,788407
2652,806867
2670,807562
2662,794294
2659,803017
2993,826652
3245,868932
2900,927482
2933,842118
2665,809987
2656,792932
2661,780303
2660,781717
2652,785112
2654,788008
3029,889676
3222,930860
2665,846647
2657,797954
2686,805139
2669,781360
2655,842261
2669,903118
2650,790167
2656,776455
2654,778560
2659,779204
2657,778181
2653,779765
2661,778885
2659,821858
2838,778865
2664,856600
2702,851766
2683,859982
2703,831708
2655,912657
3243,841506
2651,884479
3621,828724
2651,937470
2660,876652
3242,844725
2842,823846
2903,828484
3235,820313
2662,799803
2703,852453
3392,825178
2841,842305
2670,837979
2971,828598
2657,791701
2697,783405
2657,774792
2663,778966
2669,775933
2658,775246
2672,776164
2646,774535
2655,775128
2649,775631
2664,789818
2676,813510
2949,793924
2690,794557
2665,793564
2658,805126
2658,790723
2667,790037
2654,784129
2664,779006
2656,792469
2890,817343
2678,815241
2682,790285
2670,784220
2657,803117
2663,781642
2654,776365
2663,782720
2657,784880
2658,778066
2658,778905
2658,790681
2802,791670
2666,795364
2751,784474
2662,778060
2656,776549
2661,780910
2666,777255
2660,774823
2661,775490
2664,776254
